Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si,mineral
0,0,0,0,147,6,5,0,452,0,CaTiO3std15
0,0,2,0,136,3,6,0,495,1,CaTiO3std15
0,0,3,0,140,4,5,0,486,0,CaTiO3std15
0,0,2,0,131,2,4,0,456,3,CaTiO3std15
0,0,2,2,155,5,7,0,465,0,CaTiO3std15
1,0,2,0,121,6,4,0,430,0,CaTiO3std15
0,0,0,3,150,5,6,0,450,0,CaTiO3std15
0,0,0,0,155,7,2,0,474,1,CaTiO3std15
0,0,0,0,133,6,2,0,451,0,CaTiO3std15
0,0,0,0,130,4,0,0,431,1,CaTiO3std15
1,2,0,0,160,6,2,0,438,0,CaTiO3std15
0,0,0,0,139,3,8,0,445,2,CaTiO3std15
0,0,0,0,143,5,4,0,481,0,CaTiO3std15
1,0,0,0,142,4,3,0,458,1,CaTiO3std15
0,0,2,0,130,6,3,0,452,0,CaTiO3std15
1,0,2,0,130,7,3,0,488,0,CaTiO3std15
0,3,0,2,125,6,3,0,471,0,CaTiO3std15
0,0,2,2,140,7,2,0,457,0,CaTiO3std15
1,0,2,0,127,5,0,0,476,0,CaTiO3std15
0,0,0,0,137,4,4,0,455,1,CaTiO3std15
0,0,0,0,136,2,3,0,440,0,CaTiO3std15
0,0,0,0,112,3,7,0,456,1,CaTiO3std15
0,0,0,0,122,2,4,0,458,2,CaTiO3std15
0,2,0,0,153,3,0,0,459,1,CaTiO3std15
0,0,0,0,119,0,3,0,459,0,CaTiO3std15
0,0,0,0,135,2,2,0,439,0,CaTiO3std15
1,2,0,0,123,6,7,0,437,0,CaTiO3std15
0,0,0,0,142,3,3,0,451,0,CaTiO3std15
0,0,0,0,131,0,5,0,449,1,CaTiO3std15
0,0,2,0,140,4,2,0,450,1,CaTiO3std15
0,0,2,0,138,2,2,0,457,0,CaTiO3std15
0,0,0,0,132,3,0,0,443,1,CaTiO3std15
0,0,0,0,129,6,3,0,442,2,CaTiO3std15
0,0,0,0,142,6,3,0,468,0,CaTiO3std15
1,2,0,2,137,2,6,0,459,1,CaTiO3std15
2,2,2,0,139,5,5,0,492,2,CaTiO3std15
0,0,0,0,118,3,8,0,457,0,CaTiO3std15
1,0,0,3,132,2,5,0,455,1,CaTiO3std15
1,0,2,0,140,3,2,0,494,0,CaTiO3std15
0,2,3,5,122,8,3,0,451,0,CaTiO3std15
0,0,0,0,125,4,7,0,455,2,CaTiO3std15
0,0,4,0,145,2,0,0,485,0,CaTiO3std15
2,2,0,0,117,3,4,0,450,1,CaTiO3std15
1,2,0,0,155,5,4,0,469,0,CaTiO3std15
0,0,0,0,148,3,3,0,455,0,CaTiO3std15
0,0,0,0,149,2,0,0,454,1,CaTiO3std15
0,0,0,0,127,6,0,0,444,0,CaTiO3std15
0,0,0,0,130,5,3,0,484,0,CaTiO3std15
1,2,0,0,162,4,3,0,495,0,CaTiO3std15
0,0,0,2,140,5,4,0,467,0,CaTiO3std15
0,0,0,0,153,4,2,0,467,0,CaTiO3std15
0,0,3,0,143,4,3,0,472,0,CaTiO3std15
0,0,0,0,139,4,6,0,446,0,CaTiO3std15
0,0,0,0,139,6,4,0,472,1,CaTiO3std15
0,0,0,0,138,2,4,0,426,0,CaTiO3std15
0,0,0,0,146,3,0,0,474,0,CaTiO3std15
0,0,0,0,140,4,7,0,486,0,CaTiO3std15
0,2,0,2,141,5,3,0,441,1,CaTiO3std15
0,0,0,0,124,5,4,0,494,1,CaTiO3std15
0,0,0,0,143,6,3,0,472,1,CaTiO3std15
0,0,2,0,153,3,6,0,476,0,CaTiO3std15
0,0,0,3,127,0,2,0,476,0,CaTiO3std15
1,0,2,0,140,2,3,0,474,3,CaTiO3std15
1,0,0,0,146,5,4,0,449,0,CaTiO3std15
0,0,0,0,119,4,7,0,445,0,CaTiO3std15
2,0,0,0,156,0,4,0,455,0,CaTiO3std15
0,0,0,0,136,5,3,0,457,0,CaTiO3std15
2,0,0,0,127,3,0,0,471,0,CaTiO3std15
0,0,2,2,117,5,5,0,431,0,CaTiO3std15
0,2,0,0,127,2,0,0,449,1,CaTiO3std15
0,0,3,0,125,6,4,0,459,0,CaTiO3std15
0,2,0,0,150,4,2,0,475,0,CaTiO3std15
0,0,0,0,129,3,4,0,456,0,CaTiO3std15
0,4,0,0,119,4,3,0,480,0,CaTiO3std15
1,0,0,0,146,5,4,0,485,0,CaTiO3std15
0,2,3,0,153,5,3,0,462,0,CaTiO3std15
0,0,0,0,145,2,5,0,461,0,CaTiO3std15
0,0,0,0,123,4,0,0,464,0,CaTiO3std15
0,0,0,0,133,4,0,0,478,1,CaTiO3std15
0,0,2,0,133,2,3,0,451,0,CaTiO3std15
0,2,0,0,140,6,2,0,456,0,CaTiO3std15
0,0,0,0,138,0,0,0,481,0,CaTiO3std15
1,0,0,0,146,3,4,0,461,1,CaTiO3std15
0,3,2,0,161,6,3,0,444,2,CaTiO3std15
0,0,0,2,125,2,2,0,438,2,CaTiO3std15
0,0,2,2,130,3,5,0,425,2,CaTiO3std15
0,2,0,0,119,2,6,0,487,1,CaTiO3std15
0,0,0,0,139,3,2,0,480,0,CaTiO3std15
0,0,2,2,131,8,0,0,479,0,CaTiO3std15
2,0,3,0,151,5,3,0,492,0,CaTiO3std15
0,0,0,0,113,9,4,0,441,0,CaTiO3std15
0,0,0,0,138,7,5,0,471,0,CaTiO3std15
0,2,0,0,130,4,8,0,441,0,CaTiO3std15
1,0,0,0,119,5,4,0,458,0,CaTiO3std15
1,2,0,0,144,3,2,0,458,1,CaTiO3std15
0,2,2,3,139,4,5,0,465,0,CaTiO3std15
1,2,2,0,137,0,2,0,452,4,CaTiO3std15
0,0,0,0,149,4,3,0,476,2,CaTiO3std15
1,0,0,0,127,5,4,0,451,0,CaTiO3std15
0,0,0,0,122,5,3,0,429,0,CaTiO3std15
0,0,0,0,146,6,4,0,461,0,CaTiO3std15
0,0,0,0,139,0,0,0,461,0,CaTiO3std15
0,0,0,0,151,5,3,0,481,0,CaTiO3std15
1,2,0,0,137,6,2,0,487,2,CaTiO3std15
0,3,0,0,127,4,0,0,472,0,CaTiO3std15
0,0,0,0,125,6,4,0,459,1,CaTiO3std15
0,0,0,0,133,3,0,0,465,0,CaTiO3std15
0,0,0,0,161,4,4,0,479,2,CaTiO3std15
0,3,0,0,114,3,3,0,471,4,CaTiO3std15
0,0,0,0,131,8,5,0,465,0,CaTiO3std15
1,0,0,0,130,4,8,0,464,0,CaTiO3std15
1,0,0,0,118,3,2,0,474,3,CaTiO3std15
1,0,0,0,135,3,2,0,429,0,CaTiO3std15
0,3,2,0,136,6,0,0,455,2,CaTiO3std15
0,0,0,0,135,0,2,0,452,0,CaTiO3std15
0,0,0,0,143,6,2,0,454,0,CaTiO3std15
0,3,0,0,116,4,4,0,458,1,CaTiO3std15
0,0,2,0,127,7,0,0,481,0,CaTiO3std15
1,0,0,0,124,6,3,0,494,0,CaTiO3std15
1,2,0,0,119,4,3,0,491,0,CaTiO3std15
0,0,0,0,139,3,6,0,431,1,CaTiO3std15
0,0,0,2,148,0,3,0,459,0,CaTiO3std15
0,0,0,0,127,0,4,0,494,0,CaTiO3std15
0,2,0,0,130,3,3,0,451,0,CaTiO3std15
0,2,0,0,148,3,8,0,468,1,CaTiO3std15
0,0,0,0,147,5,4,0,446,1,CaTiO3std15
0,0,0,0,134,7,0,0,432,0,CaTiO3std15
0,0,0,0,129,5,5,0,459,2,CaTiO3std15
1,2,0,0,151,6,2,0,487,0,CaTiO3std15
0,0,0,0,140,6,5,0,439,0,CaTiO3std15
0,2,0,2,148,7,5,0,468,0,CaTiO3std15
2,3,0,0,151,2,4,0,478,1,CaTiO3std15
1,2,2,0,122,3,6,0,450,0,CaTiO3std15
0,2,0,0,146,0,3,0,462,0,CaTiO3std15
1,0,0,0,134,5,4,0,448,0,CaTiO3std15
0,0,0,0,125,8,6,0,472,1,CaTiO3std15
0,0,2,0,134,0,3,0,464,0,CaTiO3std15
0,2,0,0,127,6,4,0,452,0,CaTiO3std15
0,3,0,0,155,3,6,0,468,1,CaTiO3std15
0,0,2,0,171,6,2,0,462,0,CaTiO3std15
0,2,2,0,144,4,2,0,471,0,CaTiO3std15
0,0,0,0,134,2,3,0,475,0,CaTiO3std15
0,0,0,0,166,4,6,0,448,0,CaTiO3std15
0,0,0,0,115,3,3,0,451,1,CaTiO3std15
0,0,0,0,130,3,7,0,481,0,CaTiO3std15
0,3,0,2,158,3,5,0,459,0,CaTiO3std15
0,0,2,0,135,2,3,0,501,1,CaTiO3std15
0,0,0,0,135,4,2,0,425,0,CaTiO3std15
0,0,0,0,135,7,2,0,463,0,CaTiO3std15
0,0,0,0,140,2,4,0,478,1,CaTiO3std15
0,0,0,0,131,4,7,0,454,1,CaTiO3std15
0,0,0,0,129,4,2,0,458,0,CaTiO3std15
0,0,2,2,159,0,3,0,458,0,CaTiO3std15
0,2,0,0,125,0,3,0,454,2,CaTiO3std15
0,0,0,0,132,3,4,0,441,0,CaTiO3std15
0,0,0,0,138,8,2,0,496,1,CaTiO3std15
0,0,0,2,127,5,2,0,467,0,CaTiO3std15
2,0,0,0,129,3,6,0,517,0,CaTiO3std15
0,0,0,0,141,8,6,0,459,2,CaTiO3std15
0,0,0,0,131,3,0,0,491,0,CaTiO3std15
0,2,0,3,127,3,0,0,467,2,CaTiO3std15
0,2,2,0,154,3,5,0,442,0,CaTiO3std15
0,0,0,0,118,5,2,0,472,0,CaTiO3std15
0,0,2,0,143,4,5,0,475,0,CaTiO3std15
0,0,0,2,137,7,2,0,439,0,CaTiO3std15
1,0,2,0,149,4,6,0,454,0,CaTiO3std15
1,0,0,0,129,5,5,0,454,0,CaTiO3std15
2,2,0,2,137,5,2,0,459,0,CaTiO3std15
1,0,0,0,144,3,2,0,451,0,CaTiO3std15
0,2,0,2,124,6,5,0,461,3,CaTiO3std15
0,2,0,0,144,4,6,0,488,0,CaTiO3std15
0,0,2,0,124,7,2,0,432,0,CaTiO3std15
0,0,0,0,117,3,2,0,463,0,CaTiO3std15
0,2,2,0,127,4,4,0,433,2,CaTiO3std15
0,0,2,0,157,2,3,0,464,2,CaTiO3std15
0,2,0,2,134,8,5,0,452,0,CaTiO3std15
0,0,0,0,150,4,7,0,438,0,CaTiO3std15
0,0,0,0,150,0,2,2,475,0,CaTiO3std15
0,2,0,0,137,3,6,0,474,1,CaTiO3std15
1,2,0,0,151,0,6,0,443,2,CaTiO3std15
0,0,0,2,119,3,3,0,467,0,CaTiO3std15
0,0,0,0,135,3,5,0,468,0,CaTiO3std15
0,0,0,0,155,3,3,0,468,0,CaTiO3std15
0,0,0,0,135,5,4,0,464,1,CaTiO3std15
0,0,2,0,138,2,0,0,476,0,CaTiO3std15
0,0,0,0,159,3,5,0,474,0,CaTiO3std15
0,0,0,0,150,4,3,0,452,1,CaTiO3std15
0,3,0,0,125,0,4,0,441,1,CaTiO3std15
2,0,2,0,135,6,5,0,441,0,CaTiO3std15
0,0,0,0,122,3,5,0,456,0,CaTiO3std15
0,0,0,0,119,3,8,0,476,0,CaTiO3std15
0,0,0,0,138,6,3,0,438,0,CaTiO3std15
0,0,0,0,145,3,2,0,468,0,CaTiO3std15
0,0,0,0,146,7,5,0,450,2,CaTiO3std15
0,3,0,0,150,4,4,0,439,0,CaTiO3std15
0,0,0,0,134,2,2,0,475,1,CaTiO3std15
0,0,0,0,140,3,2,0,471,2,CaTiO3std15
0,0,0,0,132,6,3,0,462,3,CaTiO3std15
0,0,0,0,132,6,4,0,474,0,CaTiO3std15
0,0,0,0,129,6,0,0,459,1,CaTiO3std15
1,2,0,0,148,0,3,0,465,0,CaTiO3std15
0,0,0,0,140,2,6,0,430,0,CaTiO3std15
1,0,0,0,139,4,5,0,444,0,CaTiO3std15
0,0,0,0,131,4,0,0,451,1,CaTiO3std15
0,0,0,0,135,3,0,0,437,2,CaTiO3std15
1,0,0,0,131,2,2,0,510,0,CaTiO3std15
0,0,0,0,149,5,6,0,476,0,CaTiO3std15
0,2,0,2,132,3,0,0,449,3,CaTiO3std15
1,0,0,0,141,3,5,0,474,1,CaTiO3std15
0,0,0,2,142,0,3,0,468,1,CaTiO3std15
0,2,0,0,133,2,2,0,414,0,CaTiO3std15
0,0,0,0,152,4,5,0,472,1,CaTiO3std15
0,2,0,2,155,3,3,0,451,1,CaTiO3std15
0,0,0,0,137,5,0,0,456,1,CaTiO3std15
0,0,0,0,132,4,2,0,468,0,CaTiO3std15
0,0,0,2,142,6,3,0,462,0,CaTiO3std15
0,0,0,0,154,0,6,0,476,2,CaTiO3std15
0,0,0,0,136,5,3,0,494,0,CaTiO3std15
0,0,0,3,136,5,3,0,523,0,CaTiO3std15
0,3,0,0,142,5,3,0,440,0,CaTiO3std15
0,0,0,0,147,5,3,0,447,0,CaTiO3std15
1,4,0,0,133,4,2,0,435,0,CaTiO3std15
0,2,0,0,158,7,5,0,472,0,CaTiO3std15
0,2,0,0,125,2,3,0,445,0,CaTiO3std15
0,0,0,0,145,4,3,0,469,0,CaTiO3std15
1,0,0,0,158,8,5,0,416,0,CaTiO3std15
0,0,0,3,135,3,3,0,443,1,CaTiO3std15
0,2,0,0,144,3,0,0,480,0,CaTiO3std15
0,2,0,0,131,4,0,0,496,2,CaTiO3std15
1,0,2,0,118,3,0,0,445,1,CaTiO3std15
0,4,0,3,145,7,2,0,461,0,CaTiO3std15
0,0,0,0,151,3,3,0,481,0,CaTiO3std15
0,0,0,0,146,6,0,0,465,3,CaTiO3std15
0,0,0,0,145,3,2,0,464,0,CaTiO3std15
3,0,2,0,156,3,7,0,444,0,CaTiO3std15
1,0,0,0,143,5,5,0,486,0,CaTiO3std15
0,3,0,0,158,10,0,0,518,0,CaTiO3std15
0,0,0,0,145,2,0,0,472,0,CaTiO3std15
0,4,0,0,145,6,5,0,465,1,CaTiO3std15
1,4,0,2,110,3,4,0,469,0,CaTiO3std15
0,0,0,0,132,2,4,0,465,0,CaTiO3std15
2,0,0,0,127,4,5,0,475,2,CaTiO3std15
0,0,0,0,152,5,3,0,479,0,CaTiO3std15
0,3,0,0,138,4,9,0,478,0,CaTiO3std15
1,0,0,0,139,4,6,2,434,0,CaTiO3std15
0,2,2,0,135,5,0,0,442,0,CaTiO3std15
0,0,0,2,130,3,0,0,469,0,CaTiO3std15
0,0,0,2,149,9,5,0,465,0,CaTiO3std15
0,0,0,0,154,3,2,0,461,0,CaTiO3std15
0,0,0,0,136,7,6,0,492,0,CaTiO3std15
0,0,0,0,125,3,3,0,450,0,CaTiO3std15
2,0,0,0,134,5,0,0,489,0,CaTiO3std15
0,3,2,0,127,8,2,0,444,1,CaTiO3std15
2,2,2,0,124,3,6,0,497,0,CaTiO3std15
0,2,0,0,140,0,7,0,455,0,CaTiO3std15
0,0,3,0,148,2,3,0,435,1,CaTiO3std15
0,0,0,2,118,4,5,0,476,0,CaTiO3std15
0,3,0,0,146,5,4,0,489,0,CaTiO3std15
0,0,0,0,140,8,4,0,459,0,CaTiO3std15
1,2,2,0,143,9,3,0,483,2,CaTiO3std15
0,0,0,0,134,4,5,0,483,0,CaTiO3std15
0,0,0,0,159,3,3,0,444,3,CaTiO3std15
1,0,0,0,127,7,4,0,483,0,CaTiO3std15
0,0,0,0,142,5,5,0,500,0,CaTiO3std15
0,0,0,2,135,4,5,0,452,3,CaTiO3std15
0,0,2,0,144,2,4,0,465,0,CaTiO3std15
0,2,2,0,151,5,3,0,509,0,CaTiO3std15
2,0,0,0,125,5,2,0,488,3,CaTiO3std15
0,0,0,0,123,5,4,0,468,0,CaTiO3std15
2,0,0,0,139,3,3,0,458,0,CaTiO3std15
0,0,0,0,144,3,2,0,511,0,CaTiO3std15
1,2,0,0,121,6,5,0,461,0,CaTiO3std15
0,2,0,0,141,4,8,0,472,0,CaTiO3std15
2,0,0,0,127,2,0,0,465,0,CaTiO3std15
0,0,3,2,113,4,5,0,502,0,CaTiO3std15
0,0,0,2,125,5,6,0,454,1,CaTiO3std15
1,0,0,0,150,2,3,0,456,1,CaTiO3std15
0,0,0,0,121,5,4,0,444,2,CaTiO3std15
0,2,2,0,145,2,2,0,429,2,CaTiO3std15
0,0,0,0,123,6,3,0,478,3,CaTiO3std15
0,0,0,0,130,4,0,0,468,0,CaTiO3std15
1,0,0,2,132,5,5,0,474,1,CaTiO3std15
0,2,0,2,132,4,7,0,480,0,CaTiO3std15
0,2,0,0,129,3,3,0,472,0,CaTiO3std15
0,0,0,0,140,0,0,0,472,1,CaTiO3std15
0,0,0,0,131,6,5,0,447,0,CaTiO3std15
2,0,0,0,135,6,2,0,468,0,CaTiO3std15
0,3,3,0,127,4,3,0,475,0,CaTiO3std15
0,2,0,0,125,5,5,0,431,0,CaTiO3std15
0,2,0,0,114,0,5,0,455,2,CaTiO3std15
0,0,0,0,125,2,5,0,457,0,CaTiO3std15
1,0,0,0,127,5,0,0,465,0,CaTiO3std15
1,0,0,0,119,5,2,0,454,1,CaTiO3std15
0,2,0,0,122,0,8,0,452,0,CaTiO3std15
0,0,0,0,136,5,6,0,467,0,CaTiO3std15
1,2,0,0,118,4,2,0,498,0,CaTiO3std15
0,0,0,0,141,2,6,0,484,2,CaTiO3std15
0,2,0,0,146,4,3,0,475,1,CaTiO3std15
2,3,2,0,151,6,8,0,446,0,CaTiO3std15
0,2,0,0,127,3,0,0,485,0,CaTiO3std15
0,2,0,0,129,6,3,0,452,0,CaTiO3std15
0,0,0,2,138,3,3,0,450,0,CaTiO3std15
1,2,0,0,147,2,3,0,468,0,CaTiO3std15
1,0,0,0,122,4,5,0,472,0,CaTiO3std15
0,0,0,0,132,4,4,0,438,0,CaTiO3std15
0,0,0,0,147,2,0,0,506,4,CaTiO3std15
1,0,3,0,130,4,3,0,457,0,CaTiO3std15
0,0,0,0,124,5,2,0,465,1,CaTiO3std15
0,0,0,0,152,5,4,0,497,0,CaTiO3std15
0,0,0,0,123,2,3,0,463,1,CaTiO3std15
1,0,0,0,157,4,4,0,472,0,CaTiO3std15
1,2,0,3,152,2,5,0,474,2,CaTiO3std15
0,0,2,0,136,4,4,0,452,1,CaTiO3std15
0,0,0,0,135,3,7,0,480,0,CaTiO3std15
0,0,0,0,145,5,4,0,516,0,CaTiO3std15
1,0,2,0,123,8,6,0,443,0,CaTiO3std15
0,0,2,0,130,8,8,0,432,0,CaTiO3std15
0,0,0,0,133,4,4,0,468,0,CaTiO3std15
0,0,2,0,127,5,8,0,443,1,CaTiO3std15
0,2,0,0,127,2,3,0,475,0,CaTiO3std15
0,0,0,0,143,4,0,0,421,0,CaTiO3std15
0,0,0,0,147,4,0,0,465,0,CaTiO3std15
0,0,0,2,137,8,4,0,491,4,CaTiO3std15
0,0,0,0,123,6,4,0,446,1,CaTiO3std15
0,0,0,0,135,4,3,0,488,1,CaTiO3std15
1,2,0,0,130,3,4,0,446,0,CaTiO3std15
2,0,0,0,141,3,4,0,456,0,CaTiO3std15
0,0,0,0,155,9,3,0,443,0,CaTiO3std15
0,0,4,0,124,9,2,0,445,0,CaTiO3std15
0,3,2,0,151,3,7,0,472,0,CaTiO3std15
0,0,2,0,131,4,5,0,492,3,CaTiO3std15
1,0,0,0,143,3,3,0,445,0,CaTiO3std15
0,4,3,0,125,0,2,0,430,1,CaTiO3std15
0,0,0,0,147,4,4,0,467,0,CaTiO3std15
0,0,2,0,129,0,2,0,475,0,CaTiO3std15
1,0,0,0,155,5,3,0,463,0,CaTiO3std15
0,2,0,0,140,7,0,0,444,0,CaTiO3std15
0,0,0,2,138,5,7,0,468,0,CaTiO3std15
0,0,3,0,138,2,4,0,457,1,CaTiO3std15
0,0,0,0,117,4,3,0,501,0,CaTiO3std15
0,0,0,0,138,2,3,0,492,0,CaTiO3std15
0,3,0,0,138,6,8,0,455,0,CaTiO3std15
0,2,0,0,131,4,3,0,480,2,CaTiO3std15
0,2,2,0,140,5,4,0,434,1,CaTiO3std15
0,0,0,0,130,5,7,0,439,0,CaTiO3std15
0,0,0,0,119,6,2,0,459,1,CaTiO3std15
0,0,0,0,142,5,0,0,471,1,CaTiO3std15
0,0,0,0,132,4,2,0,426,0,CaTiO3std15
1,0,0,0,111,5,4,0,455,0,CaTiO3std15
0,0,0,0,131,3,2,0,457,0,CaTiO3std15
0,0,0,0,140,0,5,0,449,0,CaTiO3std15
0,0,0,2,141,0,4,0,459,0,CaTiO3std15
0,0,0,0,129,3,2,0,489,0,CaTiO3std15
0,0,0,0,139,2,3,0,471,1,CaTiO3std15
0,0,0,0,158,2,4,0,440,0,CaTiO3std15
0,0,0,0,125,3,4,0,439,0,CaTiO3std15
0,0,2,0,152,5,3,0,483,0,CaTiO3std15
0,4,0,0,137,0,4,0,465,0,CaTiO3std15
0,0,0,0,147,3,0,0,452,1,CaTiO3std15
0,0,0,0,139,2,4,0,468,2,CaTiO3std15
1,0,0,0,133,7,7,0,462,0,CaTiO3std15
1,0,0,0,129,0,8,0,454,0,CaTiO3std15
0,0,0,0,142,2,2,0,502,0,CaTiO3std15
0,0,3,0,137,0,2,0,452,0,CaTiO3std15
0,0,4,2,123,0,2,0,464,0,CaTiO3std15
1,0,0,2,138,3,5,0,474,0,CaTiO3std15
1,0,2,0,140,4,2,0,468,0,CaTiO3std15
1,0,2,0,129,0,2,0,437,0,CaTiO3std15
0,0,2,0,141,0,8,0,446,0,CaTiO3std15
0,0,0,0,134,4,5,0,444,0,CaTiO3std15
0,0,0,0,125,5,7,0,476,0,CaTiO3std15
1,0,0,0,129,5,0,0,455,0,CaTiO3std15
0,0,0,2,145,4,3,0,439,0,CaTiO3std15
0,0,0,0,149,3,4,0,476,1,CaTiO3std15
0,0,0,0,119,2,8,0,445,0,CaTiO3std15
0,0,0,0,140,2,7,0,440,3,CaTiO3std15
0,0,2,0,129,4,5,0,440,1,CaTiO3std15
0,0,0,0,153,5,5,0,474,0,CaTiO3std15
0,0,0,0,130,3,2,0,459,1,CaTiO3std15
1,2,0,0,125,6,2,0,463,0,CaTiO3std15
0,0,0,2,141,6,7,0,455,0,CaTiO3std15
1,2,2,0,140,4,5,0,469,0,CaTiO3std15
0,0,0,0,138,2,5,0,458,1,CaTiO3std15
0,0,0,0,123,6,4,0,446,0,CaTiO3std15
0,2,0,0,163,4,6,0,468,2,CaTiO3std15
0,0,0,0,127,4,2,0,455,0,CaTiO3std15
0,0,0,0,142,3,3,0,486,1,CaTiO3std15
0,0,2,0,143,6,2,0,444,1,CaTiO3std15
0,2,0,0,143,3,4,0,471,0,CaTiO3std15
0,0,0,0,138,0,6,0,461,0,CaTiO3std15
1,0,3,0,132,2,4,0,425,2,CaTiO3std15
0,0,3,0,148,3,6,0,462,2,CaTiO3std15
0,0,0,2,127,5,6,0,454,0,CaTiO3std15
0,0,0,2,131,9,0,0,471,0,CaTiO3std15
1,0,2,0,151,3,3,0,468,0,CaTiO3std15
2,0,0,0,127,4,3,0,483,0,CaTiO3std15
0,0,0,0,124,3,2,0,467,0,CaTiO3std15
0,0,0,0,133,4,4,0,467,0,CaTiO3std15
0,0,0,3,162,3,2,0,480,2,CaTiO3std15
0,0,2,0,125,3,4,0,439,1,CaTiO3std15
0,2,0,0,141,4,2,0,429,0,CaTiO3std15
0,2,0,0,122,5,2,0,478,0,CaTiO3std15
0,0,0,0,145,2,2,0,486,1,CaTiO3std15
0,0,0,0,129,2,7,0,459,0,CaTiO3std15
0,0,0,0,141,6,4,0,468,0,CaTiO3std15
0,0,0,0,134,2,3,0,434,0,CaTiO3std15
0,0,0,0,125,0,0,0,452,0,CaTiO3std15
0,2,0,0,131,6,4,0,469,0,CaTiO3std15
0,0,0,0,129,6,2,0,483,0,CaTiO3std15
0,0,0,0,135,6,4,0,472,0,CaTiO3std15
0,0,0,0,139,4,5,0,479,0,CaTiO3std15
0,0,0,0,127,3,10,0,465,0,CaTiO3std15
2,0,3,0,131,6,6,0,461,0,CaTiO3std15
1,0,0,0,148,3,3,0,449,2,CaTiO3std15
0,0,0,0,149,0,3,0,392,0,CaTiO3std15
0,0,0,0,132,4,0,0,465,2,CaTiO3std15
0,0,0,0,137,5,4,0,512,2,CaTiO3std15
0,0,0,0,133,6,5,0,435,0,CaTiO3std15
0,2,0,2,136,4,4,0,485,0,CaTiO3std15
0,0,2,0,127,4,6,0,463,1,CaTiO3std15
0,0,0,0,139,9,0,0,481,0,CaTiO3std15
0,0,0,0,152,7,7,0,457,0,CaTiO3std15
0,0,0,0,134,0,2,0,481,0,CaTiO3std15
0,2,0,0,143,4,3,0,435,1,CaTiO3std15
0,0,2,0,138,2,3,0,469,1,CaTiO3std15
0,0,2,0,140,0,3,0,459,0,CaTiO3std15
0,0,0,0,149,2,6,0,443,0,CaTiO3std15
1,0,0,2,131,0,0,0,452,0,CaTiO3std15
1,2,0,0,130,5,0,0,468,2,CaTiO3std15
0,3,0,0,127,0,3,0,457,0,CaTiO3std15
0,0,0,0,153,4,6,0,425,0,CaTiO3std15
0,0,0,2,149,10,4,0,465,0,CaTiO3std15
0,0,0,0,148,3,2,0,455,0,CaTiO3std15
0,0,0,0,137,2,3,0,450,0,CaTiO3std15
0,0,0,0,146,4,3,0,490,0,CaTiO3std15
