Ca,Fe,Mg,Ni,S,Si,Ti,mineral
0,0,0,264,66,3,3,Millerite
0,0,0,123,75,0,3,Millerite
0,0,0,162,80,0,2,Millerite
0,0,0,240,80,0,4,Millerite
0,0,0,173,70,1,5,Millerite
0,0,0,213,71,1,3,Millerite
1,0,0,154,74,0,1,Millerite
0,1,0,85,78,1,0,Millerite
0,0,0,211,81,0,4,Millerite
0,1,0,63,73,1,1,Millerite
1,0,0,227,73,0,4,Millerite
0,0,1,158,73,0,4,Millerite
0,0,0,165,76,0,4,Millerite
0,0,0,189,91,1,6,Millerite
1,0,0,90,75,0,3,Millerite
0,0,0,196,65,0,2,Millerite
0,0,0,193,93,0,3,Millerite
0,0,0,153,72,0,3,Millerite
0,0,1,87,69,1,3,Millerite
0,0,0,232,57,0,3,Millerite
1,0,0,232,71,0,5,Millerite
0,0,0,133,63,0,2,Millerite
0,2,0,261,84,1,3,Millerite
0,0,0,210,64,2,2,Millerite
0,0,0,198,69,1,3,Millerite
1,0,0,230,73,1,4,Millerite
1,0,0,125,72,0,0,Millerite
0,0,0,145,104,0,3,Millerite
0,1,0,205,81,2,3,Millerite
0,1,0,176,60,0,2,Millerite
0,0,0,270,77,2,2,Millerite
0,0,0,216,86,1,3,Millerite
0,0,0,220,82,2,3,Millerite
0,0,0,207,82,0,1,Millerite
0,0,0,210,72,2,2,Millerite
0,0,0,136,84,0,2,Millerite
0,0,0,255,85,1,0,Millerite
0,0,0,122,67,0,2,Millerite
0,0,0,211,52,0,0,Millerite
1,0,0,183,73,0,0,Millerite
0,0,0,107,59,0,0,Millerite
0,0,0,190,79,0,1,Millerite
0,1,0,142,74,1,6,Millerite
0,0,0,205,81,3,0,Millerite
1,0,0,164,57,0,2,Millerite
0,0,0,252,66,0,5,Millerite
0,0,0,197,77,0,5,Millerite
0,0,0,226,54,0,1,Millerite
0,0,0,165,75,0,0,Millerite
0,1,0,50,81,0,1,Millerite
0,0,0,205,61,1,7,Millerite
1,0,0,183,74,0,4,Millerite
0,1,0,206,71,1,3,Millerite
1,0,0,142,88,1,5,Millerite
0,1,0,315,77,2,2,Millerite
0,0,0,172,63,0,2,Millerite
0,0,0,252,73,2,1,Millerite
0,0,0,225,71,5,6,Millerite
0,0,0,142,68,1,4,Millerite
0,0,0,140,75,0,4,Millerite
0,1,0,237,61,0,4,Millerite
0,0,0,176,80,0,1,Millerite
1,0,0,122,76,0,4,Millerite
0,1,0,261,57,1,2,Millerite
0,0,0,119,69,0,2,Millerite
0,0,0,177,78,2,3,Millerite
0,0,1,237,69,0,4,Millerite
0,0,0,255,84,0,3,Millerite
0,1,0,198,76,1,1,Millerite
1,1,0,223,73,0,0,Millerite
0,0,0,235,78,0,1,Millerite
0,0,0,157,91,0,1,Millerite
0,0,0,181,74,0,7,Millerite
0,1,0,271,81,0,4,Millerite
0,0,0,249,84,0,5,Millerite
0,0,0,232,80,0,9,Millerite
0,0,0,246,66,0,2,Millerite
0,0,0,292,94,0,1,Millerite
1,0,0,235,68,1,4,Millerite
0,0,0,167,70,0,1,Millerite
0,0,0,192,56,2,2,Millerite
1,0,0,201,88,0,3,Millerite
0,1,0,184,91,1,2,Millerite
0,0,0,193,67,2,3,Millerite
0,0,0,97,92,0,1,Millerite
0,0,0,146,84,3,2,Millerite
0,0,0,228,91,0,1,Millerite
0,0,0,221,81,0,3,Millerite
0,0,0,161,85,4,6,Millerite
0,0,0,256,65,1,4,Millerite
0,1,0,207,68,2,1,Millerite
0,0,0,232,78,2,3,Millerite
0,0,0,164,79,0,2,Millerite
1,0,0,158,82,2,4,Millerite
0,0,0,90,43,1,2,Millerite
0,0,0,178,81,2,3,Millerite
0,0,0,295,73,0,5,Millerite
0,0,0,164,86,0,2,Millerite
0,0,0,216,81,1,5,Millerite
0,0,0,200,67,1,4,Millerite
0,0,0,142,77,1,3,Millerite
0,0,0,251,80,0,3,Millerite
0,0,0,136,85,3,3,Millerite
2,0,0,229,76,0,2,Millerite
0,0,0,234,96,1,1,Millerite
0,0,0,46,75,1,3,Millerite
0,0,0,139,66,0,0,Millerite
0,0,0,177,68,0,7,Millerite
0,0,0,185,73,2,2,Millerite
0,0,0,231,72,1,4,Millerite
0,0,0,177,74,1,6,Millerite
0,1,0,144,73,1,5,Millerite
0,0,0,220,83,3,2,Millerite
0,0,0,228,73,1,3,Millerite
0,0,0,182,82,0,3,Millerite
0,0,0,242,51,1,6,Millerite
0,0,0,129,67,1,0,Millerite
0,0,0,200,86,1,2,Millerite
0,0,0,166,82,3,3,Millerite
0,1,0,220,75,1,8,Millerite
0,0,0,201,73,1,0,Millerite
0,0,0,314,78,0,4,Millerite
0,0,0,99,67,1,5,Millerite
1,0,0,250,70,2,5,Millerite
0,0,0,161,77,2,6,Millerite
0,0,0,260,77,0,1,Millerite
0,0,1,184,58,2,2,Millerite
1,2,0,126,73,1,6,Millerite
0,0,0,199,81,0,4,Millerite
1,0,0,195,71,0,3,Millerite
0,0,0,178,69,0,3,Millerite
0,0,0,211,83,0,0,Millerite
0,0,0,277,63,1,6,Millerite
0,0,0,210,76,0,4,Millerite
0,0,0,222,72,2,4,Millerite
0,0,0,92,76,2,2,Millerite
0,0,0,239,67,1,2,Millerite
1,0,1,277,75,2,0,Millerite
0,0,0,220,82,0,6,Millerite
0,0,0,114,84,0,0,Millerite
1,0,0,192,66,2,3,Millerite
1,0,0,199,69,0,7,Millerite
0,0,0,289,53,1,6,Millerite
1,0,1,271,63,1,2,Millerite
0,0,0,243,73,3,2,Millerite
0,0,0,237,57,0,0,Millerite
0,0,0,211,76,1,5,Millerite
0,0,0,147,67,0,9,Millerite
0,1,0,239,81,1,6,Millerite
0,2,1,230,71,0,0,Millerite
0,0,0,205,65,0,4,Millerite
0,0,0,250,89,0,3,Millerite
0,0,0,174,66,2,3,Millerite
0,0,0,273,65,0,1,Millerite
0,0,0,182,77,0,6,Millerite
0,0,0,147,70,1,4,Millerite
1,0,0,193,75,1,5,Millerite
0,1,0,250,65,0,4,Millerite
0,0,0,285,85,0,3,Millerite
1,0,0,107,69,0,7,Millerite
0,2,0,155,76,0,2,Millerite
0,0,0,201,78,2,1,Millerite
0,0,0,160,69,0,1,Millerite
0,0,0,158,74,0,8,Millerite
2,0,0,229,72,2,5,Millerite
0,1,0,280,82,1,2,Millerite
0,0,0,98,72,0,4,Millerite
1,0,0,76,71,0,4,Millerite
1,1,0,160,85,0,5,Millerite
0,0,0,287,67,1,0,Millerite
0,1,0,86,73,0,7,Millerite
0,0,0,130,74,0,4,Millerite
0,0,0,164,78,1,4,Millerite
0,1,0,106,75,0,4,Millerite
0,0,0,130,79,0,5,Millerite
0,0,1,192,62,0,0,Millerite
0,1,0,104,84,0,6,Millerite
0,0,0,163,91,1,6,Millerite
0,1,0,207,63,3,6,Millerite
0,0,0,243,67,0,7,Millerite
0,1,0,149,73,0,0,Millerite
0,0,0,303,89,1,5,Millerite
0,0,0,260,65,1,2,Millerite
0,1,0,165,68,0,6,Millerite
1,1,0,251,85,0,0,Millerite
0,0,0,165,69,0,5,Millerite
0,0,0,200,82,0,1,Millerite
0,0,0,200,65,1,5,Millerite
0,1,0,176,71,0,6,Millerite
0,0,0,143,79,0,1,Millerite
0,0,0,162,73,0,1,Millerite
1,0,0,268,88,0,3,Millerite
1,0,0,371,73,1,0,Millerite
0,0,0,252,72,2,6,Millerite
0,0,0,149,69,2,4,Millerite
1,0,0,198,70,2,3,Millerite
0,0,0,250,70,0,2,Millerite
0,0,0,223,62,0,0,Millerite
0,0,0,236,58,0,2,Millerite
1,1,0,153,82,1,3,Millerite
0,1,0,248,66,1,7,Millerite
0,0,0,143,68,0,6,Millerite
0,0,0,128,71,1,1,Millerite
0,0,0,210,76,0,2,Millerite
0,0,0,240,79,0,9,Millerite
0,0,0,214,66,1,2,Millerite
0,0,0,213,61,2,4,Millerite
0,0,0,230,78,0,4,Millerite
0,0,0,152,76,2,2,Millerite
0,0,0,165,69,0,1,Millerite
0,0,0,267,71,2,1,Millerite
0,0,0,77,75,2,0,Millerite
0,0,0,182,75,0,3,Millerite
0,0,0,132,93,0,4,Millerite
1,0,0,224,76,0,6,Millerite
0,1,0,137,90,2,8,Millerite
0,2,0,128,77,2,4,Millerite
0,0,0,193,72,0,1,Millerite
0,0,0,249,58,3,4,Millerite
0,0,0,204,66,0,1,Millerite
0,0,0,141,95,0,4,Millerite
0,0,0,156,75,0,2,Millerite
0,2,0,198,74,2,1,Millerite
0,0,0,198,65,0,7,Millerite
0,1,0,246,67,1,3,Millerite
0,0,0,156,69,1,5,Millerite
1,0,0,236,75,0,5,Millerite
0,0,0,85,82,0,1,Millerite
0,0,0,272,68,2,8,Millerite
0,0,0,164,78,0,1,Millerite
0,0,0,182,90,1,2,Millerite
0,0,0,212,78,0,3,Millerite
1,0,0,171,86,1,5,Millerite
0,0,0,193,76,1,5,Millerite
0,0,0,234,70,0,0,Millerite
0,0,0,182,75,0,3,Millerite
0,0,0,178,83,0,5,Millerite
0,0,0,228,81,0,3,Millerite
0,0,0,198,75,1,5,Millerite
1,0,0,269,72,1,6,Millerite
0,0,0,169,75,1,6,Millerite
0,0,0,195,88,0,3,Millerite
0,0,0,201,86,3,2,Millerite
0,0,0,226,87,0,5,Millerite
1,0,0,143,72,0,0,Millerite
0,0,0,182,68,0,3,Millerite
1,0,1,226,70,1,2,Millerite
0,0,0,100,92,0,4,Millerite
0,1,0,255,79,0,4,Millerite
1,0,0,184,92,0,7,Millerite
0,0,0,178,76,2,2,Millerite
0,0,0,256,75,0,0,Millerite
1,1,0,165,76,0,5,Millerite
0,0,0,236,66,1,1,Millerite
0,0,0,235,66,0,2,Millerite
1,0,0,126,74,2,0,Millerite
0,0,0,244,66,2,2,Millerite
0,0,0,193,69,0,1,Millerite
0,0,0,148,85,0,3,Millerite
0,1,0,245,56,1,4,Millerite
0,0,0,113,76,0,5,Millerite
0,0,0,236,78,0,3,Millerite
0,0,0,96,66,1,1,Millerite
0,0,0,224,69,0,4,Millerite
0,0,0,287,80,0,4,Millerite
0,0,0,205,72,3,4,Millerite
0,0,0,229,75,0,5,Millerite
1,1,0,267,66,3,6,Millerite
0,0,0,171,78,0,4,Millerite
0,0,0,99,71,2,1,Millerite
0,0,0,230,74,1,4,Millerite
0,0,0,182,58,0,3,Millerite
0,3,0,143,75,0,5,Millerite
0,0,0,211,75,0,5,Millerite
0,0,0,245,72,0,5,Millerite
0,0,0,301,80,2,5,Millerite
0,1,0,253,62,2,2,Millerite
0,0,0,177,78,0,5,Millerite
1,1,0,233,79,0,1,Millerite
0,1,0,188,85,0,6,Millerite
1,0,0,168,72,0,4,Millerite
0,0,0,149,82,1,3,Millerite
0,0,0,243,68,1,2,Millerite
0,0,0,189,72,0,1,Millerite
1,0,0,127,88,0,1,Millerite
0,0,0,199,72,1,4,Millerite
0,0,0,160,58,1,7,Millerite
0,0,0,131,82,0,1,Millerite
0,0,0,269,76,0,7,Millerite
0,0,0,161,80,1,6,Millerite
0,0,0,248,77,1,6,Millerite
1,1,0,320,76,0,5,Millerite
0,0,0,119,89,0,1,Millerite
0,0,0,173,66,0,1,Millerite
0,0,0,157,75,2,3,Millerite
0,1,0,198,66,2,6,Millerite
0,0,0,192,81,2,0,Millerite
0,0,0,139,76,0,2,Millerite
0,2,0,117,77,0,2,Millerite
0,0,0,253,77,0,3,Millerite
0,0,0,99,75,1,6,Millerite
0,0,0,299,82,1,0,Millerite
0,0,0,191,64,1,2,Millerite
0,0,0,213,78,0,1,Millerite
0,0,0,154,61,1,0,Millerite
1,0,0,206,78,1,8,Millerite
1,0,0,146,62,2,0,Millerite
0,1,0,164,83,0,3,Millerite
1,2,0,197,71,1,0,Millerite
0,0,0,165,64,1,4,Millerite
0,0,0,83,70,1,0,Millerite
0,0,0,123,83,0,6,Millerite
0,1,0,212,78,0,3,Millerite
1,0,0,148,92,1,0,Millerite
1,0,0,112,58,1,2,Millerite
0,0,0,191,82,2,7,Millerite
0,0,0,226,80,1,6,Millerite
0,1,0,260,73,2,4,Millerite
0,0,0,175,68,0,5,Millerite
0,0,0,184,67,0,3,Millerite
0,0,0,125,58,0,0,Millerite
1,0,0,192,68,0,7,Millerite
0,0,0,137,68,1,4,Millerite
0,0,0,235,92,1,4,Millerite
0,0,0,85,71,1,3,Millerite
0,0,0,171,72,2,2,Millerite
1,2,0,101,69,3,2,Millerite
0,0,0,175,67,0,2,Millerite
0,0,0,144,82,2,1,Millerite
0,0,0,283,70,0,4,Millerite
0,0,0,257,57,1,3,Millerite
0,0,0,217,79,0,5,Millerite
0,0,0,236,91,0,1,Millerite
0,2,0,263,65,0,5,Millerite
1,0,0,183,68,0,3,Millerite
1,0,0,178,85,2,7,Millerite
0,0,0,219,91,1,3,Millerite
0,0,0,217,83,0,1,Millerite
0,0,0,338,69,2,6,Millerite
1,0,0,137,59,0,5,Millerite
0,0,0,193,77,1,5,Millerite
0,0,0,138,55,2,0,Millerite
0,0,0,270,77,1,4,Millerite
0,0,0,252,81,2,3,Millerite
0,0,0,202,82,0,0,Millerite
1,2,0,169,69,1,7,Millerite
1,0,0,242,81,1,1,Millerite
0,0,0,156,86,1,7,Millerite
1,0,0,45,72,2,4,Millerite
0,0,0,200,85,1,3,Millerite
2,1,0,254,83,0,2,Millerite
0,0,0,82,78,0,4,Millerite
0,0,0,179,59,0,1,Millerite
1,0,0,157,59,1,1,Millerite
0,0,0,81,73,0,2,Millerite
1,0,0,106,64,1,0,Millerite
0,0,0,170,76,2,2,Millerite
0,1,0,231,59,0,3,Millerite
0,0,0,185,96,0,2,Millerite
1,0,0,232,71,1,2,Millerite
0,0,0,196,77,1,1,Millerite
0,0,0,152,75,0,6,Millerite
0,0,0,237,73,0,0,Millerite
0,0,0,179,66,0,5,Millerite
0,0,0,175,78,0,3,Millerite
1,0,0,202,91,0,0,Millerite
1,0,0,232,72,0,5,Millerite
0,1,0,184,69,1,5,Millerite
0,0,0,220,69,0,3,Millerite
0,0,0,207,85,1,2,Millerite
0,0,0,234,64,0,4,Millerite
0,0,0,225,57,0,6,Millerite
0,0,0,172,81,2,2,Millerite
0,2,0,208,76,1,2,Millerite
0,0,0,196,88,1,2,Millerite
0,0,0,232,80,2,4,Millerite
1,0,0,196,75,2,4,Millerite
1,0,0,255,62,0,3,Millerite
0,0,0,119,82,0,3,Millerite
0,3,0,262,78,3,5,Millerite
0,1,0,160,68,1,4,Millerite
1,0,0,232,71,0,5,Millerite
0,0,0,120,83,0,2,Millerite
0,0,0,202,95,2,0,Millerite
0,1,0,123,82,1,2,Millerite
0,0,0,269,73,3,5,Millerite
0,1,0,146,56,0,3,Millerite
0,0,0,213,80,0,4,Millerite
0,0,0,163,80,1,5,Millerite
0,0,0,242,66,1,7,Millerite
0,0,0,179,68,0,6,Millerite
0,0,0,172,80,0,7,Millerite
0,0,0,238,71,1,0,Millerite
1,0,0,138,74,0,7,Millerite
0,0,0,205,72,1,8,Millerite
0,0,0,161,78,0,1,Millerite
0,0,0,205,68,0,6,Millerite
0,0,1,116,83,0,1,Millerite
0,0,0,191,80,2,2,Millerite
0,0,0,82,62,0,3,Millerite
0,2,0,249,72,0,0,Millerite
1,0,0,220,80,0,1,Millerite
0,0,0,205,79,0,4,Millerite
0,0,0,212,74,1,6,Millerite
0,0,0,227,68,2,4,Millerite
0,0,0,169,68,0,2,Millerite
0,1,0,160,74,0,2,Millerite
0,0,0,198,70,0,4,Millerite
0,0,0,186,89,0,1,Millerite
0,0,0,153,83,0,8,Millerite
1,0,0,206,79,0,4,Millerite
1,0,0,179,95,1,3,Millerite
1,0,0,264,68,1,4,Millerite
1,0,0,238,91,0,4,Millerite
0,0,0,250,60,0,2,Millerite
0,1,0,248,87,0,3,Millerite
0,0,0,269,89,0,1,Millerite
0,0,0,253,87,1,3,Millerite
1,0,0,193,77,0,4,Millerite
0,0,0,226,71,0,5,Millerite
0,2,0,164,68,3,4,Millerite
0,0,0,142,74,0,4,Millerite
0,0,0,133,82,2,5,Millerite
1,1,0,181,69,0,3,Millerite
0,0,0,194,70,0,3,Millerite
0,0,0,230,75,1,1,Millerite
0,0,0,148,74,2,0,Millerite
0,0,0,147,72,2,1,Millerite
1,0,0,171,72,1,3,Millerite
0,2,0,75,75,0,7,Millerite
0,0,0,229,63,1,3,Millerite
0,0,0,291,90,0,3,Millerite
0,0,0,221,86,0,5,Millerite
0,1,0,261,68,1,4,Millerite
0,0,0,175,71,2,4,Millerite
0,0,0,169,76,0,8,Millerite
1,0,0,159,87,0,3,Millerite
0,1,0,154,74,0,6,Millerite
0,0,0,291,49,0,5,Millerite
1,0,0,239,84,0,1,Millerite
0,0,0,143,87,0,3,Millerite
0,1,0,158,79,0,4,Millerite
0,0,0,99,67,0,5,Millerite
0,0,0,220,69,0,3,Millerite
0,0,0,201,75,0,1,Millerite
0,0,0,176,73,1,3,Millerite
0,0,0,115,75,0,1,Millerite
0,0,0,299,75,0,5,Millerite
0,0,0,225,75,1,3,Millerite
0,0,0,177,64,0,4,Millerite
0,0,0,238,73,1,6,Millerite
0,0,0,279,86,0,2,Millerite
1,1,0,131,76,2,1,Millerite
1,0,0,178,71,1,7,Millerite
0,3,0,321,80,0,0,Millerite
0,0,0,206,71,0,3,Millerite
2,2,0,117,74,0,3,Millerite
0,0,0,253,63,2,2,Millerite
0,0,0,196,82,0,0,Millerite
0,0,0,171,86,1,6,Millerite
0,0,0,134,67,0,0,Millerite
1,0,0,203,81,0,7,Millerite
0,0,0,232,77,0,6,Millerite
0,0,0,331,82,0,0,Millerite
0,0,0,108,81,1,0,Millerite
0,0,0,190,88,0,1,Millerite
1,0,0,194,58,0,5,Millerite
0,0,0,145,73,0,0,Millerite
1,0,0,181,69,1,5,Millerite
0,0,0,288,79,1,2,Millerite
0,0,0,183,67,0,4,Millerite
0,0,0,153,68,0,4,Millerite
0,1,0,194,75,2,8,Millerite
0,0,0,203,79,0,2,Millerite
0,0,0,205,56,0,6,Millerite
0,0,0,176,62,1,7,Millerite
0,0,0,180,80,0,3,Millerite
0,0,0,275,81,3,0,Millerite
0,0,0,216,99,1,1,Millerite
1,0,0,252,81,0,5,Millerite
2,0,0,260,77,0,5,Millerite
0,0,0,167,75,2,6,Millerite
0,0,0,301,70,0,2,Millerite
1,0,0,210,67,0,6,Millerite
1,0,0,198,92,3,6,Millerite
1,0,0,98,67,2,5,Millerite
0,0,0,208,67,2,1,Millerite
0,0,0,214,82,1,2,Millerite
0,0,0,168,63,0,2,Millerite
0,0,0,211,63,1,2,Millerite
0,0,0,179,69,1,4,Millerite
0,0,0,291,80,0,8,Millerite
0,0,0,272,65,0,5,Millerite
0,0,1,173,84,0,0,Millerite
1,0,0,267,88,0,5,Millerite
0,0,0,144,66,0,6,Millerite
0,0,0,155,75,3,3,Millerite
0,1,0,180,70,0,3,Millerite
0,0,0,184,74,0,2,Millerite
0,0,0,196,69,0,4,Millerite
0,0,0,257,82,0,2,Millerite
0,0,0,214,61,1,0,Millerite
0,0,0,201,71,1,4,Millerite
0,1,0,239,73,0,0,Millerite
1,0,0,205,64,0,2,Millerite
0,0,0,200,80,1,2,Millerite
0,0,0,300,75,0,5,Millerite
0,1,0,189,74,2,3,Millerite
1,0,0,148,74,0,4,Millerite
1,0,0,123,77,1,3,Millerite
0,0,0,210,78,1,3,Millerite
0,0,0,218,69,0,4,Millerite
0,0,0,100,73,0,7,Millerite
0,1,0,212,82,2,8,Millerite
0,0,0,321,76,0,1,Millerite
0,0,0,195,82,0,0,Millerite
0,0,0,113,83,0,1,Millerite
0,0,0,167,67,1,7,Millerite
0,0,0,130,74,0,3,Millerite
1,0,0,277,80,0,3,Millerite
0,0,0,137,74,0,5,Millerite
0,0,0,124,79,4,1,Millerite
0,0,0,258,63,0,7,Millerite
0,0,0,180,89,0,4,Millerite
1,0,0,212,78,0,1,Millerite
0,0,0,178,82,0,5,Millerite
0,0,0,173,81,2,5,Millerite
0,0,0,175,59,0,2,Millerite
2,0,0,149,66,0,0,Millerite
0,1,0,208,70,0,3,Millerite
0,2,0,270,79,0,8,Millerite
1,0,0,328,63,0,4,Millerite
0,0,0,260,77,0,5,Millerite
0,0,0,189,82,1,4,Millerite
0,0,0,266,66,1,3,Millerite
0,0,0,230,86,0,7,Millerite
1,0,0,139,67,1,3,Millerite
0,0,0,199,70,0,3,Millerite
0,0,0,297,80,2,5,Millerite
0,0,0,160,72,0,5,Millerite
0,0,0,274,76,0,10,Millerite
0,0,0,271,92,2,3,Millerite
0,0,0,211,59,3,4,Millerite
0,0,0,207,77,1,9,Millerite
1,0,0,209,75,0,6,Millerite
0,0,0,144,73,1,2,Millerite
1,1,0,256,82,1,4,Millerite
0,0,0,164,76,1,2,Millerite
0,0,0,166,75,2,0,Millerite
1,0,0,130,79,1,3,Millerite
0,0,0,312,80,1,4,Millerite
0,0,0,212,67,1,3,Millerite
0,0,0,291,81,4,4,Millerite
0,0,0,174,68,3,4,Millerite
0,0,0,166,65,1,3,Millerite
0,0,0,335,74,0,5,Millerite
0,0,0,138,85,0,0,Millerite
0,1,0,157,75,1,5,Millerite
0,0,0,137,69,0,2,Millerite
1,1,0,202,81,1,3,Millerite
0,0,0,155,80,0,4,Millerite
0,0,0,174,84,0,0,Millerite
1,0,0,113,87,0,7,Millerite
1,0,0,253,78,1,4,Millerite
0,0,0,266,70,0,5,Millerite
0,0,0,235,81,2,0,Millerite
0,0,0,289,83,1,1,Millerite
0,0,0,210,81,0,3,Millerite
0,0,0,242,85,0,5,Millerite
0,0,0,216,69,1,1,Millerite
0,1,0,299,81,1,5,Millerite
0,0,0,148,79,0,1,Millerite
0,0,0,185,76,1,2,Millerite
0,0,0,105,64,0,4,Millerite
0,0,0,114,81,2,3,Millerite
1,0,0,254,84,1,4,Millerite
0,1,0,207,75,0,0,Millerite
1,0,0,107,67,1,6,Millerite
0,0,0,198,75,0,4,Millerite
0,0,0,260,71,1,7,Millerite
0,0,0,273,68,0,5,Millerite
0,0,0,204,77,0,1,Millerite
0,0,0,210,81,1,3,Millerite
0,0,0,215,93,2,5,Millerite
0,1,0,208,74,1,4,Millerite
0,0,0,254,74,0,0,Millerite
0,0,0,168,69,0,5,Millerite
0,0,0,86,76,0,4,Millerite
0,0,0,208,81,0,2,Millerite
0,1,0,251,77,0,4,Millerite
0,0,0,167,78,1,4,Millerite
0,0,0,212,55,0,1,Millerite
0,0,0,273,69,0,4,Millerite
0,0,0,214,62,1,3,Millerite
0,0,0,167,86,0,5,Millerite
0,0,0,160,86,1,0,Millerite
0,1,0,246,70,3,5,Millerite
0,0,0,173,82,0,3,Millerite
0,0,0,197,70,0,4,Millerite
0,0,0,197,95,0,5,Millerite
0,0,0,234,76,0,0,Millerite
0,0,0,225,76,2,2,Millerite
0,0,0,147,92,1,5,Millerite
0,0,0,192,79,0,4,Millerite
0,0,0,218,82,0,5,Millerite
1,0,0,150,69,0,1,Millerite
0,0,0,259,76,0,1,Millerite
0,0,0,188,84,1,0,Millerite
0,0,0,126,79,0,2,Millerite
0,1,0,183,84,2,2,Millerite
1,0,0,87,77,1,2,Millerite
0,0,0,237,71,0,4,Millerite
0,0,0,174,78,3,4,Millerite
0,1,0,199,87,0,2,Millerite
0,0,0,170,69,0,3,Millerite
0,0,0,266,74,0,6,Millerite
0,0,0,231,90,1,5,Millerite
0,0,0,235,65,0,4,Millerite
0,0,0,197,73,1,8,Millerite
0,0,0,262,79,0,4,Millerite
0,0,0,250,77,0,0,Millerite
1,0,0,149,67,1,2,Millerite
0,0,0,143,64,1,6,Millerite
0,0,1,117,70,0,2,Millerite
